country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Brunei,BRN,10,0,449359,25.17,11.93,9.8699999,10.92,15.83,14.18,14.78,12.61,17.889999,12.03,10.55,18.549999,11.57,14.42,14.71,13.49,13.8,16.27,13.58,11.72,15.06,1.49,.20999999,.090000004,.15000001,.56999999,.41,.47,.27000001,.76999998,.22,.13,.83999997,.20999999,.43000001,.46000001,.34,.37,.61000001,.34999999,.19,.5,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,10,0,767514,20.690001,20.700001,24.530001,25.73,25.559999,27.07,30.25,30.6,30.549999,30.799999,32.98,35.919998,33.09,30.52,37.299999,31.709999,35.220001,32.880001,32.450001,32.41,33.560001,1.05,1.05,1.4299999,1.54,1.53,1.67,1.98,2.02,2.01,2.04,2.25,2.54,2.26,2.01,2.6800001,2.1300001,2.47,2.24,2.2,2.2,2.3099999,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,10,0,2245473,9.6099997,8.1199999,9.2200003,11.27,9.9099998,9.4499998,8.5299997,9.8500004,8.3299999,9.1099997,9.8199997,10.66,11.63,11.83,11.73,10.16,10.11,11.53,10.65,9.9799995,9.1199999,.11,.059999999,.059999999,.14,.07,.059999999,.039999999,.07,.039999999,.039999999,.07,.11,.17,.19,.19,.090000004,.07,.16,.1,.090000004,.050000001,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,10,0,5771239,35.529999,27.530001,26.889999,24.639999,22.139999,23.379999,28.690001,25.290001,22.09,22.120001,26.93,24.469999,26.27,29.450001,31.35,23.799999,27.639999,26.440001,27.08,25.85,28.26,2.5,1.72,1.65,1.4299999,1.1900001,1.3099999,1.83,1.5,1.1900001,1.1900001,1.66,1.42,1.59,1.91,2.0899999,1.35,1.73,1.61,1.67,1.55,1.79,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,10,10,35852387,11.89,10.23,9.5600004,10.04,10.53,10,8.4799995,9.5600004,8.9399996,8.3199997,8.4899998,8.21,7.3899999,8.1499996,8.2799997,7.6900001,8.3000002,8.9300003,7.0700002,8.3500004,9.1199999,.25999999,.14,.090000004,.14,.18000001,.11,.029999999,.13,.050000001,.029999999,.029999999,.0099999998,0,.02,.02,0,.0099999998,.029999999,0,.029999999,.050000001,.25999999,.14,.090000004,.14,.18000001,.11,.029999999,.13,.050000001,.029999999,.029999999,.0099999998,0,.02,.02,0,.0099999998,.029999999,0,.029999999,.050000001
Switzerland,CHE,10,0,8300777,22.77,21.67,19.290001,18.48,17.07,18.91,14.61,13.52,17.450001,13.43,14.81,19.25,14.89,16.83,14.86,16.09,13.1,15.39,15.07,11.24,11.47,1.25,1.14,.91000003,.82999998,.69,.87,.44999999,.34,.73000002,.34,.47,.91000003,.47999999,.67000002,.47999999,.60000002,.30000001,.52999997,.5,.14,.15000001,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,10,20,17922464,14.67,15.65,13.48,14.05,13.68,12.1,12.15,12.39,12.59,12.5,12.89,13.24,13.18,14.74,14.29,13.68,13.66,14.37,15.96,13.8,13.61,.56999999,.64999998,.47999999,.51999998,.47,.34,.34,.38999999,.38,.37,.40000001,.43000001,.43000001,.54000002,.51999998,.47999999,.47,.51999998,.66000003,.47999999,.46000001,.07,.1,.02,.050000001,.0099999998,0,0,0,0,0,0,0,0,.050000001,.029999999,.02,.0099999998,.029999999,.12,.02,0
China,CHN,10,35,1392259118,46.279999,41.150002,42.759998,39.549999,46.700001,46.450001,45.07,47.779999,52.16,51.16,50,50.119999,53.700001,59.75,50.59,55.25,50.599998,44.849998,45.509998,39.290001,33.849998,3.5599999,3.0599999,3.21,2.9100001,3.5999999,3.5699999,3.4400001,3.71,4.1300001,4.04,3.9200001,3.9300001,4.29,4.8800001,3.98,4.4400001,3.98,3.4200001,3.48,2.8699999,2.3399999,1.33,.99000001,1.04,.81,1.38,1.37,1.29,1.51,1.86,1.83,1.7,1.67,2.03,2.54,1.7,2.1600001,1.72,1.23,1.25,.75999999,.47999999
Côte d'Ivoire,CIV,10,0,26247826,41.48,24.360001,28,26.309999,25.01,22.85,48.560001,35.560001,30.290001,32.639999,26.35,25.4,29.200001,31.34,25.99,29.299999,23.75,29.200001,17.309999,22.209999,22.48,3.0799999,1.41,1.76,1.6,1.47,1.26,3.78,2.51,1.99,2.22,1.6,1.51,1.88,2.0899999,1.5700001,1.89,1.35,1.88,.72000003,1.2,1.22,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,10,10,25691736,38.610001,24.76,21.41,24.030001,20.690001,20.389999,27.139999,29.52,24.27,21.1,24.15,18.75,22.940001,21.629999,27.66,19.35,27.209999,23.18,24.139999,23.309999,21.950001,2.8,1.45,1.13,1.38,1.1,1.02,1.6799999,1.91,1.4,1.09,1.4,.92000002,1.27,1.15,1.73,.93000001,1.6900001,1.3,1.39,1.3099999,1.22,2.8,1.45,1.13,1.38,1.1,1.02,1.6799999,1.91,1.4,1.09,1.4,.92000002,1.27,1.15,1.73,.93000001,1.6900001,1.3,1.39,1.3099999,1.22
